Sludinājumidatums_2,Ist.,m2,Stāvs,Stavs,Sērija,Cena,"Cena, m2",Ielas nosaukums,Ielas numurs,Iela full,Rajons,Merged,Year
4-х комнатная кв-ра по супер цене. На одной из самых престижных улиц,4,85,2,2,P. kara,"89,900",1057.647059,Valdemāra,49,centrs Valdemāra 49,centrs,"Latvia, Riga, centrs Valdemāra 49",2018
"Pārdod restaurētu, daļēji mēbelētu, dzīvokli. Kamīns, eļļotas dēļu g",3,83,2,2,P. kara,"129,900",1565.060241,Avotu,73,centrs Avotu 73,centrs,"Latvia, Riga, centrs Avotu 73",2018
"Elegants 5 istabu dzīvoklis klusajā centrā, ar 4 guļamistabām, atsev",5,133,2,2,P. kara,"279,000",2097.744361,Strēlnieku,4,centrs Strēlnieku 4,centrs,"Latvia, Riga, centrs Strēlnieku 4",2018
"Lv/rus/eng. Piedāvājām pārdošanai sauss, silts, gaišs, mēbelēts,",3,60,2,2,P. kara,"96,000",1600,Barona,60,centrs Barona 60,centrs,"Latvia, Riga, centrs Barona 60",2018
Продается рабочий Хостел в хорошем состоянии с ремонтом. Все комнаты,6,133,2,2,P. kara,"152,700",1148.120301,Čaka,114,centrs Čaka 114,centrs,"Latvia, Riga, centrs Čaka 114",2018
"Pārdod plašu dzīvokli Rīgas centrā, Raiņa bulvārī 31, jūgendstila ēk",0,154,2,2,P. kara,"280,000",1818.181818,Raiņa bulv.,31,centrs Raiņa bulv. 31,centrs,"Latvia, Riga, centrs Raiņa bulv. 31",2018
En/ru/lv Продаётся красивая и солнечная квартира в центре Риги - бу,3,124,2,2,P. kara,"226,000",1822.580645,Kalpaka bulv.,10,centrs Kalpaka bulv. 10,centrs,"Latvia, Riga, centrs Kalpaka bulv. 10",2018
"Tiek pārdots četristabu dzīvoklis centrā. Kopējā platība 101 m², dzī",4,101,2,2,P. kara,"80,000",792.0792079,Dagdas,4,centrs Dagdas 4,centrs,"Latvia, Riga, centrs Dagdas 4",2018
"Продаю 4х комнатную квартиру, квартира и земля в собственности.",4,73,2,2,P. kara,"46,000",630.1369863,Krāsotāju,26,centrs Krāsotāju 26,centrs,"Latvia, Riga, centrs Krāsotāju 26",2018
"Хозяин, без посредников, продаёт благоустроенную квартиру в центре г",4,105,2,2,P. kara,"135,000",1285.714286,Ģertrūdes,135,centrs Ģertrūdes 135,centrs,"Latvia, Riga, centrs Ģertrūdes 135",2018
Īpašnieks pārdod studio tipa dzīvokli Rīgas centrā pagalma ēkā. Br,2,57,2,2,P. kara,"85,650",1502.631579,Čaka,36,centrs Čaka 36,centrs,"Latvia, Riga, centrs Čaka 36",2018
