Chain/Market,Tag name,Date tag,Price per unit,Price per liter,Value,Volume,Distribution relevant rate,Manufacturer,Segment,Brand,Taste,Pack type,Size,SKU,SKU2,"ABV, %"
Antaris,TG39733,JUL 2011,1.12,2.25,0.307687474,0.136749989,3.931385172,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,can,0.5,KISS BLACKCURRANT 4.5% CT 0.5L,Kiss Blackcurrant 0.5 can,0.045
Antaris,TG39733,AUG 2011,1.3,2.61,0.204701781,0.078429801,1.293162862,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,can,0.5,KISS BLACKCURRANT 4.5% CT 0.5L,Kiss Blackcurrant 0.5 can,0.045
Antaris,TG39733,SEP 2011,1.33,2.67,0.096967355,0.036317361,0.277280658,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,can,0.5,KISS BLACKCURRANT 4.5% CT 0.5L,Kiss Blackcurrant 0.5 can,0.045
Antaris,TG39733,OCT 2011,1.33,2.67,0.156732041,0.058701139,0.72440936,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,can,0.5,KISS BLACKCURRANT 4.5% CT 0.5L,Kiss Blackcurrant 0.5 can,0.045
Antaris,TG39733,NOV 2011,1.34,2.68,0.139993847,0.05223651,0.57363984,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,can,0.5,KISS BLACKCURRANT 4.5% CT 0.5L,Kiss Blackcurrant 0.5 can,0.045
Antaris,TG39733,DEC 2011,1.12,2.25,0.343297767,0.152576785,4.894044554,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,can,0.5,KISS BLACKCURRANT 4.5% CT 0.5L,Kiss Blackcurrant 0.5 can,0.045
Antaris,TG39733,JAN 2012,1.16,2.33,0.225024265,0.096576938,1.960820592,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,can,0.5,KISS BLACKCURRANT 4.5% CT 0.5L,Kiss Blackcurrant 0.5 can,0.045
Antaris,TG39733,FEB 2012,1.29,2.58,0.143556319,0.055641984,2.81937934,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,can,0.5,KISS BLACKCURRANT 4.5% CT 0.5L,Kiss Blackcurrant 0.5 can,0.045
Antaris,TG39733,MAR 2012,1.33,2.66,0.082810603,0.031131806,1.57744859,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,can,0.5,KISS BLACKCURRANT 4.5% CT 0.5L,Kiss Blackcurrant 0.5 can,0.045
Antaris,TG39733,APR 2012,1.12,2.24,0.427389544,0.190798904,6.034969319,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,can,0.5,KISS BLACKCURRANT 4.5% CT 0.5L,Kiss Blackcurrant 0.5 can,0.045
Antaris,TG39733,MAY 2012,1.02,2.04,0.454909931,0.222995064,7.053333878,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,can,0.5,KISS BLACKCURRANT 4.5% CT 0.5L,Kiss Blackcurrant 0.5 can,0.045
Antaris,TG39733,JUN 2012,1.03,2.07,0.293897382,0.141979412,2.662113967,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,can,0.5,KISS BLACKCURRANT 4.5% CT 0.5L,Kiss Blackcurrant 0.5 can,0.045
Antaris,TG39733,JUL 2012,1.15,2.31,0.206026106,0.08918879,1.672289821,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,can,0.5,KISS BLACKCURRANT 4.5% CT 0.5L,Kiss Blackcurrant 0.5 can,0.045
Antaris,TG39733,AUG 2012,0.79,1.58,0.044869142,0.028398191,0.202763085,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,can,0.5,KISS BLACKCURRANT 4.5% CT 0.5L,Kiss Blackcurrant 0.5 can,0.045
Antaris,TG39733,SEP 2012,0.79,1.58,0.052019021,0.032923431,0.2350733,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,can,0.5,KISS BLACKCURRANT 4.5% CT 0.5L,Kiss Blackcurrant 0.5 can,0.045
Antaris,TG39733,OCT 2012,0.69,1.38,0.025919237,0.018782056,0.069117965,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,can,0.5,KISS BLACKCURRANT 4.5% CT 0.5L,Kiss Blackcurrant 0.5 can,0.045
Antaris,TG39733,NOV 2012,0.79,1.58,0.00357494,0.00226262,0.008326442,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,can,0.5,KISS BLACKCURRANT 4.5% CT 0.5L,Kiss Blackcurrant 0.5 can,0.045
Antaris,TG39733,DEC 2012,0.89,1.78,0.006287775,0.003532458,0.009678935,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,can,0.5,KISS BLACKCURRANT 4.5% CT 0.5L,Kiss Blackcurrant 0.5 can,0.045
Antaris,TG39733,JAN 2013,0.69,1.38,0.001561208,0.00113131,0.00309979,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,can,0.5,KISS BLACKCURRANT 4.5% CT 0.5L,Kiss Blackcurrant 0.5 can,0.045
Antaris,TG31996,JUL 2011,2.68,1.79,0.75119664,0.419662927,22.66740379,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,PET,1.5,KISS BLACKCURRANT 4.5% CP 1.5L,Kiss Blackcurrant 1.5 PET,0.045
Antaris,TG31996,AUG 2011,2.98,1.99,0.495655101,0.249072915,7.984607601,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,PET,1.5,KISS BLACKCURRANT 4.5% CP 1.5L,Kiss Blackcurrant 1.5 PET,0.045
Antaris,TG31996,SEP 2011,3.07,2.05,0.118704439,0.057904604,0.431545673,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,PET,1.5,KISS BLACKCURRANT 4.5% CP 1.5L,Kiss Blackcurrant 1.5 PET,0.045
Antaris,TG31996,OCT 2011,3.09,2.06,0.217663823,0.10566205,1.436940004,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,PET,1.5,KISS BLACKCURRANT 4.5% CP 1.5L,Kiss Blackcurrant 1.5 PET,0.045
Antaris,TG31996,NOV 2011,3.09,2.06,0.189555155,0.092017066,1.089776226,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,PET,1.5,KISS BLACKCURRANT 4.5% CP 1.5L,Kiss Blackcurrant 1.5 PET,0.045
Antaris,TG31996,DEC 2011,2.73,1.82,0.864962494,0.475254118,29.07048966,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,PET,1.5,KISS BLACKCURRANT 4.5% CP 1.5L,Kiss Blackcurrant 1.5 PET,0.045
Antaris,TG31996,JAN 2012,3.01,2.01,0.49367554,0.245609721,7.764109902,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,PET,1.5,KISS BLACKCURRANT 4.5% CP 1.5L,Kiss Blackcurrant 1.5 PET,0.045
Antaris,TG31996,FEB 2012,2.92,1.95,0.345360099,0.177107743,8.736724967,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,PET,1.5,KISS BLACKCURRANT 4.5% CP 1.5L,Kiss Blackcurrant 1.5 PET,0.045
Antaris,TG31996,MAR 2012,1.87,1.25,0.546437185,0.437149748,21.56459708,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,PET,1.5,KISS BLACKCURRANT 4.5% CP 1.5L,Kiss Blackcurrant 1.5 PET,0.045
Antaris,TG31996,APR 2012,2.4,1.6,0.038178251,0.023861407,0.16416648,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,PET,1.5,KISS BLACKCURRANT 4.5% CP 1.5L,Kiss Blackcurrant 1.5 PET,0.045
Antaris,TG31996,MAY 2012,1.74,1.16,0.057206424,0.049315883,0.339293276,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,PET,1.5,KISS BLACKCURRANT 4.5% CP 1.5L,Kiss Blackcurrant 1.5 PET,0.045
Antaris,TG31996,SEP 2012,2.68,1.79,0.006075135,0.00339393,0.000203636,CARLSBERG BALTIC,MAINSTREAM,KISS,BLACKCURRANT,PET,1.5,KISS BLACKCURRANT 4.5% CP 1.5L,Kiss Blackcurrant 1.5 PET,0.045
Antaris,TG20941,APR 2012,0.96,1.93,0.298171656,0.154493086,9.382365115,CARLSBERG BALTIC,MAINSTREAM,KISS,CRANBERRY,can,0.5,KISS CRANBERRY 4.5% CT 0.5L,Kiss Cranberry 0.5 can,0.045
Antaris,TG20941,MAY 2012,1.03,2.06,0.486004103,0.235924322,14.32768407,CARLSBERG BALTIC,MAINSTREAM,KISS,CRANBERRY,can,0.5,KISS CRANBERRY 4.5% CT 0.5L,Kiss Cranberry 0.5 can,0.045
