Wendy's groceries sales report,,,,,,,Legacy Liquor Store,,,,,,,,,,,,,,,,,,,,
"Txn Date [1/7/2016] To [31/12/2016]Category[] To [ZZ], Subcategory[] To [ZZZZ]Vendor[] To [ZZZZZZ]Item #[] To [ZZZZZZZZZZZZZZZZZZZZ]Salesperson [] To [ZZZZZZ]Based on Sales Amount>=-99999Item Status =  Active, Discontinued, Dormant, Future""Qty Sold"" Includes ""Kit Sold"" QtySort by Category/Subcategory, then by Item Description
",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,On Hand,,Combo packs sold,,,,,Qty Sold,,Gross Sales,,Discounts,,Net Sales,,COGS,,TOTAL LOGS,,Gross profit,,Profit Margin,,,,
Category : 10 Coolers,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subcategory : 1005 CIDER-USA,,1 336,,0,,,,,1 209,,9 286.39,,9.67,,9 276.72,,6 809.57,,1 815.75,,651.40,,7.02,,,,
Subcategory : 1010 COOLERS SPIRITS-USA,,1 467,,0,,,,,542,,3 013.17,,1.53,,3 011.64,,2 007.21,,535.22,,469.21,,15.58,,,,
Subcategory : 1015 COOLERS WINE-ARG,,86,,0,,,,,30,,186.13,,0.00,,186.13,,130.81,,34.88,,20.44,,10.98,,,,
Subcategory : 1020 COOLERS BEER-MEX,,9,,0,,,,,12,,41.16,,0.00,,41.16,,26.27,,7.00,,7.89,,19.16,,,,
Category : 10 Coolers,,2 898,,0,,,,,1 793,,12 526.85,,11.20,,12 515.65,,8 973.86,,2 392.85,,1 148.94,,9.18,,,,
Category : 20 Draught Beers,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,
Subcategory : 2005 DRAUGHT-CAN,,3,,0,,,,,0,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0,,,,
Category : 20 Draught Beers,,3,,0,,,,,0,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0,,,,
Category : 30 Packaged Beers,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,
Subcategory : 3001 ORPHAN BEER-CAN,,23,,0,,,,,0,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0,,,,
Subcategory : 3002 PET-LAT,,2 530,,0,,,,,1 742,,5 445.50,,6.05,,5 439.45,,3 403.20,,907.45,,1 128.80,,20.75,,,,
Subcategory : 3003 BOMBER BEER-CAN,,3 289,,0,,,,,1 354,,8 293.13,,35.17,,8 257.96,,5 831.29,,1 554.90,,871.77,,10.56,,,,
Subcategory : 3004 BOMBER BEER-USA,,1 371,,0,,,,,381,,2 878.71,,12.83,,2 865.88,,2 010.71,,536.15,,319.02,,11.13,,,,
Subcategory : 3005 PKG BEER-CAN,,2 732,,0,,,,,1 814,,20 914.74,,17.29,,20 897.45,,15 475.65,,4 126.54,,1 295.26,,6.2,,,,
Subcategory : 3006 PKG BEER-BOL,,533,,0,,,,,627,,8 213.98,,8.68,,8 205.30,,6 133.72,,1 635.54,,436.04,,5.31,,,,
Subcategory : 3010 PKG BEER-IND,,1 348,,0,,,,,439,,3 877.44,,8.91,,3 868.53,,2 804.97,,747.94,,315.62,,8.16,,,,
Subcategory : 3015 PKG BEER-GER,,491,,0,,,,,174,,810.63,,2.05,,808.58,,515.36,,137.42,,155.80,,19.27,,,,
Subcategory : 3018 PKG BEER-BEL,,1 145,,0,,,,,544,,3 208.00,,3.94,,3 204.06,,2 253.60,,600.92,,349.54,,10.91,,,,
Subcategory : 3020 PKG BEER-HOL,,57,,0,,,,,54,,852.99,,0.00,,852.99,,592.63,,158.02,,102.34,,12,,,,
Subcategory : 3022 PKG BEER-UK,,860,,0,,,,,225,,1 186.13,,1.77,,1 184.36,,816.86,,217.81,,149.69,,12.64,,,,
Subcategory : 3025 PKG BEER-MEX,,80,,0,,,,,121,,1 704.09,,0.00,,1 704.09,,1 266.19,,337.63,,100.27,,5.88,,,,
Subcategory : 3030 PKG BEER-USA,,567,,0,,,,,227,,3 483.99,,6.82,,3 477.17,,2 511.69,,669.74,,295.74,,8.51,,,,
Subcategory : 3035 NA BEER-RUS,,24,,0,,,,,50,,131.17,,5.53,,125.64,,93.95,,25.05,,6.64,,5.28,,,,
