Country Name,Country Code,Indicator Name, 2008 ,,,Subcategory,Country,Country name,Comment
Afghanistan,AFG,"Population, total", 32 517 656 ,,,RED WINE,ARG,Argentina,Something worth noticing
Albania,ALB,"Population, total", 3 181 397 ,,,RED WINE,AUS,Australia,Something odd
Algeria,DZA,"Population, total", 34 428 028 ,,,RED WINE,CHI,Channel Islands,Something good
American Samoa,ASM,"Population, total", 66 217 ,,,RED WINE,FRA,France,Something luxurious
Andorra,ADO,"Population, total", 82 577 ,,,RED WINE,GRE,Greece,Santorini special
Angola,AGO,"Population, total", 18 037 964 ,,,RED WINE,ITA,Italy,Mainstream
Antigua and Barbuda,ATG,"Population, total", 86 881 ,,,RED WINE,NZL,New Zealand,Don't drink it
Argentina,ARG,"Population, total", 39 714 298 ,,,RED WINE,PRT,Portugal,Something cheap
Armenia,ARM,"Population, total", 3 079 087 ,,,RED WINE,ZAF,South Africa,Best from Aftica
Aruba,ABW,"Population, total", 105 526 ,,,RED WINE,ESP,Spain,Good grape season
Australia,AUS,"Population, total", 21 384 400 ,,,WHITE,ARG,Argentina,Something worth noticing
Austria,AUT,"Population, total", 8 336 926 ,,,WHITE,AUS,Australia,Something good
Azerbaijan,AZE,"Population, total", 8 763 400 ,,,WHITE,CAN,Canada,Something cheap
"Bahamas, The",BHS,"Population, total", 333 661 ,,,WHITE,CHL,Chile,Something exotic
Bahrain,BHR,"Population, total", 1 052 359 ,,,WHITE,LAT,Latvia,Hell no!
Bangladesh,BGD,"Population, total", 145 478 300 ,,,WHITE,FRA,France,Something luxurious
Barbados,BRB,"Population, total", 272 180 ,,,WHITE,GER,Germany,Was ist das?
Belarus,BLR,"Population, total", 9 528 000 ,,,WHITE,GRE,Greece,Winding down
Belgium,BEL,"Population, total", 10 709 973 ,,,WHITE,ITA,Italy,Tuscany special
Belize,BLZ,"Population, total", 322 100 ,,,WHITE,NZL,New Zealand,Best from the new world
Benin,BEN,"Population, total", 8 355 980 ,,,WHITE,PRT,Portugal,Good grape season
Bermuda,BMU,"Population, total", 64 200 ,,,WHITE,ZAF,South Africa,Best from Aftica
Bhutan,BTN,"Population, total", 701 363 ,,,WHITE,SPA,Spain,Mainstream
Bolivia,BOL,"Population, total", 9 618 466 ,,,WHITE,USA,United States,California special
Bosnia and Herzegovina,BIH,"Population, total", 3 774 164 ,,,WHITE,RUS,Russian Federation,"Don't drink it, for your own safety!"
Botswana,BWA,"Population, total", 1 954 822 ,,,PKG BEER,CAN,Canada,Something worth noticing
Brazil,BRA,"Population, total", 191 543 237 ,,,PKG BEER,BOL,Bolivia,Something odd
Brunei Darussalam,BRN,"Population, total", 384 695 ,,,PKG BEER,IND,India,Don't drink it
Bulgaria,BGR,"Population, total", 7 623 395 ,,,PKG BEER,GER,Germany,Octoberfest it is!
Burkina Faso,BFA,"Population, total", 15 515 258 ,,,PKG BEER,BEL,Belgium,Something luxurious
Burundi,BDI,"Population, total", 7 943 385 ,,,PKG BEER,HOL,Netherlands,Something cheap
Cambodia,KHM,"Population, total", 13 822 644 ,,,PKG BEER,UK,United Kingdom,"Have no fear, Budweiser is here!"
Cameroon,CMR,"Population, total", 18 758 778 ,,,PKG BEER,MEX,Mexico,Corona it is!
Canada,CAN,"Population, total", 33 317 662 ,,,PKG BEER,USA,United States,Mainstream
Cape Verde,CPV,"Population, total", 487 371 ,,,,,,
Cayman Islands,CYM,"Population, total", 55 295 ,,,,,,
